! Input capacity table for CalSim. Defines the capacity in CFS of the CAA from Pool 13 to Pool 40																																												
! TODO: 2024-04-09 change these to design capacities 																																												
CASP_CAA_CAPACITIES
month	P14_SWP_cap	P14_CVP_cap	P14_CAP	P15_SWP_cap	P15_CVP_cap	P15_CAP	P16_SWP_cap	P16_CVP_cap	P16_CAP	P17_SWP_cap	P17_CVP_cap	P17_CAP	P18_SWP_cap	P18_CVP_cap	P18_CAP	P19_SWP_cap	P19_CVP_cap	P19_CAP	P20_SWP_cap	P20_CVP_cap	P20_CAP	P21_SWP_cap	P21_CVP_cap	P21_CAP	P22_CAP	P23_CAP	P24_CAP	P25_CAP	P26_CAP	P27_CAP	P28_CAP	P29_CAP	P30_CAP	P31_CAP	P32_CAP	P33_CAP	P34_CAP	P35_CAP	P36_CAP	P37_CAP	P38_CAP	P39_CAP	P40_CAP	P41_CAP
1	7100.2	5999.8	13100.0	7100.2	5999.8	13100.0	7100.2	5999.8	13100.0	7100.1	4699.9	11800.0	7100.1	4699.9	11800.0	7100.1	4699.9	11800.0	7050.8	2299.2	9350.0	7049.9	1300.1	8350.0	8350.0	8100.0	7300.0	7150.0	6350.0	5950.0	5950.0	5950.0	5350.0	5050.0	5050.0	5050.0	4900.0	4900.0	4600.0	4400.0	4400.0	4400.0	4400.0	4400.0
2	7100.2	5999.8	13100.0	7100.2	5999.8	13100.0	7100.2	5999.8	13100.0	7100.1	4699.9	11800.0	7100.1	4699.9	11800.0	7100.1	4699.9	11800.0	7050.8	2299.2	9350.0	7049.9	1300.1	8350.0	8350.0	8100.0	7300.0	7150.0	6350.0	5950.0	5950.0	5950.0	5350.0	5050.0	5050.0	5050.0	4900.0	4900.0	4600.0	4400.0	4400.0	4400.0	4400.0	4400.0
3	7100.2	5999.8	13100.0	7100.2	5999.8	13100.0	7100.2	5999.8	13100.0	7100.1	4699.9	11800.0	7100.1	4699.9	11800.0	7100.1	4699.9	11800.0	7050.8	2299.2	9350.0	7049.9	1300.1	8350.0	8350.0	8100.0	7300.0	7150.0	6350.0	5950.0	5950.0	5950.0	5350.0	5050.0	5050.0	5050.0	4900.0	4900.0	4600.0	4400.0	4400.0	4400.0	4400.0	4400.0
4	7100.2	5999.8	13100.0	7100.2	5999.8	13100.0	7100.2	5999.8	13100.0	7100.1	4699.9	11800.0	7100.1	4699.9	11800.0	7100.1	4699.9	11800.0	7050.8	2299.2	9350.0	7049.9	1300.1	8350.0	8350.0	8100.0	7300.0	7150.0	6350.0	5950.0	5950.0	5950.0	5350.0	5050.0	5050.0	5050.0	4900.0	4900.0	4600.0	4400.0	4400.0	4400.0	4400.0	4400.0
5	7100.2	5999.8	13100.0	7100.2	5999.8	13100.0	7100.2	5999.8	13100.0	7100.1	4699.9	11800.0	7100.1	4699.9	11800.0	7100.1	4699.9	11800.0	7050.8	2299.2	9350.0	7049.9	1300.1	8350.0	8350.0	8100.0	7300.0	7150.0	6350.0	5950.0	5950.0	5950.0	5350.0	5050.0	5050.0	5050.0	4900.0	4900.0	4600.0	4400.0	4400.0	4400.0	4400.0	4400.0
6	7100.2	5999.8	13100.0	7100.2	5999.8	13100.0	7100.2	5999.8	13100.0	7100.1	4699.9	11800.0	7100.1	4699.9	11800.0	7100.1	4699.9	11800.0	7050.8	2299.2	9350.0	7049.9	1300.1	8350.0	8350.0	8100.0	7300.0	7150.0	6350.0	5950.0	5950.0	5950.0	5350.0	5050.0	5050.0	5050.0	4900.0	4900.0	4600.0	4400.0	4400.0	4400.0	4400.0	4400.0
7	7100.2	5999.8	13100.0	7100.2	5999.8	13100.0	7100.2	5999.8	13100.0	7100.1	4699.9	11800.0	7100.1	4699.9	11800.0	7100.1	4699.9	11800.0	7050.8	2299.2	9350.0	7049.9	1300.1	8350.0	8350.0	8100.0	7300.0	7150.0	6350.0	5950.0	5950.0	5950.0	5350.0	5050.0	5050.0	5050.0	4900.0	4900.0	4600.0	4400.0	4400.0	4400.0	4400.0	4400.0
8	7100.2	5999.8	13100.0	7100.2	5999.8	13100.0	7100.2	5999.8	13100.0	7100.1	4699.9	11800.0	7100.1	4699.9	11800.0	7100.1	4699.9	11800.0	7050.8	2299.2	9350.0	7049.9	1300.1	8350.0	8350.0	8100.0	7300.0	7150.0	6350.0	5950.0	5950.0	5950.0	5350.0	5050.0	5050.0	5050.0	4900.0	4900.0	4600.0	4400.0	4400.0	4400.0	4400.0	4400.0
9	7100.2	5999.8	13100.0	7100.2	5999.8	13100.0	7100.2	5999.8	13100.0	7100.1	4699.9	11800.0	7100.1	4699.9	11800.0	7100.1	4699.9	11800.0	7050.8	2299.2	9350.0	7049.9	1300.1	8350.0	8350.0	8100.0	7300.0	7150.0	6350.0	5950.0	5950.0	5950.0	5350.0	5050.0	5050.0	5050.0	4900.0	4900.0	4600.0	4400.0	4400.0	4400.0	4400.0	4400.0
10	7100.2	5999.8	13100.0	7100.2	5999.8	13100.0	7100.2	5999.8	13100.0	7100.1	4699.9	11800.0	7100.1	4699.9	11800.0	7100.1	4699.9	11800.0	7050.8	2299.2	9350.0	7049.9	1300.1	8350.0	8350.0	8100.0	7300.0	7150.0	6350.0	5950.0	5950.0	5950.0	5350.0	5050.0	5050.0	5050.0	4900.0	4900.0	4600.0	4400.0	4400.0	4400.0	4400.0	4400.0
