! Input capacity table for CalSim. Defines the capacity in CFS of the CAA from Pool 13 to Pool 40
! Note that the seasonal patterns for the Special Conditions for scenarios 2, 3, 4, and 5  are based on the original studies from CASP.
! Details documented in the memo "Subsidence and Hydraulic Conveyance Capacity Information for Use in the DCR 2023 Report"
!                                                                                                                                                            
! SCENARIO KEY
! 1 - Design Capacity of the CAA, with minor adjustments to account for the pool-level-refinement
! 2 - 2019-2023 Subsidence with SOO, Coalinga Canal Special Condition Aug-Jan, Coalinga & Coastal Branch Special Condition Feb-July, Hydrology consistent with Final DCR 2023
! 3 - 2043 50th Perentile Non-exceedance Subsidence with SOO, Coalinga Canal Special Condition Aug-Jan, Coalinga & Coastal Branch Special Condition Feb-July, Hydrology consistent with Final DCR 2023
! 4 - 2043 75th Perentile Non-exceedance Subsidence with SOO, Coalinga Canal Special Condition Aug-Jan, Coalinga & Coastal Branch Special Condition Feb-July, Hydrology consistent with Final DCR 2023
! 5 - 2085 50th Perentile Non-exceedance Subsidence with SOO, Coalinga Canal Special Condition Aug-Jan, Coalinga & Coastal Branch Special Condition Feb-July, Hydrology consistent with Final DCR 2023
CASP_CAA_CAPACITY_SCENARIOS
SCENARIO    Month     P14_SWP_cap    P14_CVP_cap    P14_CAP    P15_SWP_cap    P15_CVP_cap    P15_CAP    P16_SWP_cap    P16_CVP_cap    P16_CAP    P17_SWP_cap    P17_CVP_cap    P17_CAP    P18_SWP_cap    P18_CVP_cap    P18_CAP    P19_SWP_cap    P19_CVP_cap    P19_CAP    P20_SWP_cap    P20_CVP_cap    P20_CAP    P21_SWP_cap    P21_CVP_cap    P21_CAP    P22_CAP    P23_CAP    P24_CAP    P25_CAP    P26_CAP    P27_CAP    P28_CAP    P29_CAP    P30_CAP    P31_CAP    P32_CAP    P33_CAP    P34_CAP    P35_CAP    P36_CAP    P37_CAP    P38_CAP    P39_CAP    P40_CAP    P41_CAP
1               1     7100.20     5999.80     13100.00    7100.20     5999.80     13100.00    7100.20     5999.80     13100.00    7100.10     4699.90     11800.00    7100.10     4699.90     11800.00    7100.10     4699.90     11800.00    7050.80     2299.20     9350.00     7049.90     1300.10     8350.00     8350.00     8100.00     7300.00     7150.00     6350.00     5950.00     5950.00     5950.00     5350.00     5050.00     5050.00     5050.00     4900.00     4900.00     4600.00     4400.00     4400.00     4400.00     4400.00     4400.00 
1               2     7100.20     5999.80     13100.00    7100.20     5999.80     13100.00    7100.20     5999.80     13100.00    7100.10     4699.90     11800.00    7100.10     4699.90     11800.00    7100.10     4699.90     11800.00    7050.80     2299.20     9350.00     7049.90     1300.10     8350.00     8350.00     8100.00     7300.00     7150.00     6350.00     5950.00     5950.00     5950.00     5350.00     5050.00     5050.00     5050.00     4900.00     4900.00     4600.00     4400.00     4400.00     4400.00     4400.00     4400.00 
1               3     7100.20     5999.80     13100.00    7100.20     5999.80     13100.00    7100.20     5999.80     13100.00    7100.10     4699.90     11800.00    7100.10     4699.90     11800.00    7100.10     4699.90     11800.00    7050.80     2299.20     9350.00     7049.90     1300.10     8350.00     8350.00     8100.00     7300.00     7150.00     6350.00     5950.00     5950.00     5950.00     5350.00     5050.00     5050.00     5050.00     4900.00     4900.00     4600.00     4400.00     4400.00     4400.00     4400.00     4400.00 
1               4     7100.20     5999.80     13100.00    7100.20     5999.80     13100.00    7100.20     5999.80     13100.00    7100.10     4699.90     11800.00    7100.10     4699.90     11800.00    7100.10     4699.90     11800.00    7050.80     2299.20     9350.00     7049.90     1300.10     8350.00     8350.00     8100.00     7300.00     7150.00     6350.00     5950.00     5950.00     5950.00     5350.00     5050.00     5050.00     5050.00     4900.00     4900.00     4600.00     4400.00     4400.00     4400.00     4400.00     4400.00 
1               5     7100.20     5999.80     13100.00    7100.20     5999.80     13100.00    7100.20     5999.80     13100.00    7100.10     4699.90     11800.00    7100.10     4699.90     11800.00    7100.10     4699.90     11800.00    7050.80     2299.20     9350.00     7049.90     1300.10     8350.00     8350.00     8100.00     7300.00     7150.00     6350.00     5950.00     5950.00     5950.00     5350.00     5050.00     5050.00     5050.00     4900.00     4900.00     4600.00     4400.00     4400.00     4400.00     4400.00     4400.00 
1               6     7100.20     5999.80     13100.00    7100.20     5999.80     13100.00    7100.20     5999.80     13100.00    7100.10     4699.90     11800.00    7100.10     4699.90     11800.00    7100.10     4699.90     11800.00    7050.80     2299.20     9350.00     7049.90     1300.10     8350.00     8350.00     8100.00     7300.00     7150.00     6350.00     5950.00     5950.00     5950.00     5350.00     5050.00     5050.00     5050.00     4900.00     4900.00     4600.00     4400.00     4400.00     4400.00     4400.00     4400.00 
1               7     7100.20     5999.80     13100.00    7100.20     5999.80     13100.00    7100.20     5999.80     13100.00    7100.10     4699.90     11800.00    7100.10     4699.90     11800.00    7100.10     4699.90     11800.00    7050.80     2299.20     9350.00     7049.90     1300.10     8350.00     8350.00     8100.00     7300.00     7150.00     6350.00     5950.00     5950.00     5950.00     5350.00     5050.00     5050.00     5050.00     4900.00     4900.00     4600.00     4400.00     4400.00     4400.00     4400.00     4400.00 
1               8     7100.20     5999.80     13100.00    7100.20     5999.80     13100.00    7100.20     5999.80     13100.00    7100.10     4699.90     11800.00    7100.10     4699.90     11800.00    7100.10     4699.90     11800.00    7050.80     2299.20     9350.00     7049.90     1300.10     8350.00     8350.00     8100.00     7300.00     7150.00     6350.00     5950.00     5950.00     5950.00     5350.00     5050.00     5050.00     5050.00     4900.00     4900.00     4600.00     4400.00     4400.00     4400.00     4400.00     4400.00 
1               9     7100.20     5999.80     13100.00    7100.20     5999.80     13100.00    7100.20     5999.80     13100.00    7100.10     4699.90     11800.00    7100.10     4699.90     11800.00    7100.10     4699.90     11800.00    7050.80     2299.20     9350.00     7049.90     1300.10     8350.00     8350.00     8100.00     7300.00     7150.00     6350.00     5950.00     5950.00     5950.00     5350.00     5050.00     5050.00     5050.00     4900.00     4900.00     4600.00     4400.00     4400.00     4400.00     4400.00     4400.00 
1              10     7100.20     5999.80     13100.00    7100.20     5999.80     13100.00    7100.20     5999.80     13100.00    7100.10     4699.90     11800.00    7100.10     4699.90     11800.00    7100.10     4699.90     11800.00    7050.80     2299.20     9350.00     7049.90     1300.10     8350.00     8350.00     8100.00     7300.00     7150.00     6350.00     5950.00     5950.00     5950.00     5350.00     5050.00     5050.00     5050.00     4900.00     4900.00     4600.00     4400.00     4400.00     4400.00     4400.00     4400.00 
1              11     7100.20     5999.80     13100.00    7100.20     5999.80     13100.00    7100.20     5999.80     13100.00    7100.10     4699.90     11800.00    7100.10     4699.90     11800.00    7100.10     4699.90     11800.00    7050.80     2299.20     9350.00     7049.90     1300.10     8350.00     8350.00     8100.00     7300.00     7150.00     6350.00     5950.00     5950.00     5950.00     5350.00     5050.00     5050.00     5050.00     4900.00     4900.00     4600.00     4400.00     4400.00     4400.00     4400.00     4400.00 
1              12     7100.20     5999.80     13100.00    7100.20     5999.80     13100.00    7100.20     5999.80     13100.00    7100.10     4699.90     11800.00    7100.10     4699.90     11800.00    7100.10     4699.90     11800.00    7050.80     2299.20     9350.00     7049.90     1300.10     8350.00     8350.00     8100.00     7300.00     7150.00     6350.00     5950.00     5950.00     5950.00     5350.00     5050.00     5050.00     5050.00     4900.00     4900.00     4600.00     4400.00     4400.00     4400.00     4400.00     4400.00 
2               1     6937.60     5862.40     12800.00    6726.21     5683.79     12410.00    6021.63     5088.37     11110.00    5788.34     3831.66     9620.00     5060.29     3349.71     8410.00     3640.24     2409.76     6050.00     4177.64     1362.26     5540.00     3807.84      702.26     4510.00     4510.00     4510.00     4510.00     4510.00     4510.00     4510.00     4510.00     4510.00     4510.00     4510.00     4510.00     4510.00     4510.00     4510.00     4400.00     4400.00     4400.00     4400.00     4400.00     4400.00 
2               2     6937.56     5862.44     12800.00    6726.19     5683.81     12410.00    6021.67     5088.33     11110.00    5788.38     3831.62     9620.00     5066.29     3353.71     8420.00     3640.26     2409.74     6050.00     4562.28     1487.72     6050.00     4567.70      842.30     5410.00     5410.00     5410.00     5300.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00 
2               3     6937.56     5862.44     12800.00    6726.19     5683.81     12410.00    6021.67     5088.33     11110.00    5788.38     3831.62     9620.00     5066.29     3353.71     8420.00     3640.26     2409.74     6050.00     4562.28     1487.72     6050.00     4567.70      842.30     5410.00     5410.00     5410.00     5300.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00 
2               4     6937.56     5862.44     12800.00    6726.19     5683.81     12410.00    6021.67     5088.33     11110.00    5788.38     3831.62     9620.00     5066.29     3353.71     8420.00     3640.26     2409.74     6050.00     4562.28     1487.72     6050.00     4567.70      842.30     5410.00     5410.00     5410.00     5300.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00 
2               5     6937.56     5862.44     12800.00    6726.19     5683.81     12410.00    6021.67     5088.33     11110.00    5788.38     3831.62     9620.00     5066.29     3353.71     8420.00     3640.26     2409.74     6050.00     4562.28     1487.72     6050.00     4567.70      842.30     5410.00     5410.00     5410.00     5300.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00 
2               6     6937.56     5862.44     12800.00    6726.19     5683.81     12410.00    6021.67     5088.33     11110.00    5788.38     3831.62     9620.00     5066.29     3353.71     8420.00     3640.26     2409.74     6050.00     4562.28     1487.72     6050.00     4567.70      842.30     5410.00     5410.00     5410.00     5300.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00 
2               7     6937.56     5862.44     12800.00    6726.19     5683.81     12410.00    6021.67     5088.33     11110.00    5788.38     3831.62     9620.00     5066.29     3353.71     8420.00     3640.26     2409.74     6050.00     4562.28     1487.72     6050.00     4567.70      842.30     5410.00     5410.00     5410.00     5300.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00     4200.00 
2               8     6937.60     5862.40     12800.00    6726.21     5683.79     12410.00    6021.63     5088.37     11110.00    5788.34     3831.66     9620.00     5060.29     3349.71     8410.00     3640.24     2409.76     6050.00     4177.64     1362.26     5540.00     3807.84      702.26     4510.00     4510.00     4510.00     4510.00     4510.00     4510.00     4510.00     4510.00     4510.00     4510.00     4510.00     4510.00     4510.00     4510.00     4510.00     4400.00     4400.00     4400.00     4400.00     4400.00     4400.00 
