! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2020D09E Level of Development Assumptions
! source spreadsheet: SWPcontractDemandsGenerator.xlsm
! Split demands to pools by average monthly percentage
! contractor = AA.BB, AA = contractor from swp_3pattern_demands, BB = pool number 
! Original demands from swp_3patterns_demands.table; Demands were split to pools by contractor and average monthly percentage 
! TODO: 2024-04-09 change these to design capacities
CASP_swp_3pattern_demands				
contractor	month	percent	demand	remainDemand
15.23	4	30	0.58	9.56
15.23	5	30	0.84	8.98
15.23	6	30	1.08	8.13
15.23	7	30	1.34	7.05
15.23	8	30	0.92	5.72
15.23	9	30	1.41	4.8
15.23	10	30	1.69	3.39
15.23	11	30	1.25	1.7
15.23	12	30	0.16	0.45
15.23	1	30	0.1	0.28
15.23	2	30	0.04	0.19
15.23	3	30	0.15	0.15
15.23	4	50	0.38	9.56
15.23	5	50	0.78	9.17
15.23	6	50	1.01	8.39
15.23	7	50	1.01	7.38
15.23	8	50	1.21	6.37
15.23	9	50	1.55	5.16
15.23	10	50	1.17	3.6
15.23	11	50	1.07	2.43
15.23	12	50	0.53	1.37
15.23	1	50	0.4	0.84
15.23	2	50	0.29	0.44
15.23	3	50	0.15	0.15
15.23	4	60	0.28	9.56
15.23	5	60	0.65	9.28
15.23	6	60	0.92	8.64
15.23	7	60	0.88	7.72
15.23	8	60	1.04	6.84
15.23	9	60	1.42	5.8
15.23	10	60	1.38	4.38
15.23	11	60	1.21	3
15.23	12	60	0.73	1.78
15.23	1	60	0.49	1.05
15.23	2	60	0.35	0.56
15.23	3	60	0.21	0.21
15.23	4	100	0.17	9.56
15.23	5	100	0.53	9.39
15.23	6	100	0.68	8.86
15.23	7	100	0.72	8.18
15.23	8	100	0.82	7.46
15.23	9	100	1.05	6.64
15.23	10	100	1.05	5.59
15.23	11	100	1.05	4.54
15.23	12	100	1.04	3.49
15.23	1	100	0.91	2.44
15.23	2	100	0.79	1.54
15.23	3	100	0.74	0.74
15.24	4	30	0.57	9.42
15.24	5	30	0.83	8.85
15.24	6	30	1.06	8.02
15.24	7	30	1.32	6.95
15.24	8	30	0.91	5.64
15.24	9	30	1.39	4.73
15.24	10	30	1.67	3.34
15.24	11	30	1.23	1.67
15.24	12	30	0.16	0.44
15.24	1	30	0.1	0.28
15.24	2	30	0.04	0.18
15.24	3	30	0.14	0.14
15.24	4	50	0.38	9.42
15.24	5	50	0.77	9.05
15.24	6	50	1	8.27
15.24	7	50	1	7.28
15.24	8	50	1.2	6.28
15.24	9	50	1.53	5.08
15.24	10	50	1.15	3.55
15.24	11	50	1.05	2.4
15.24	12	50	0.52	1.35
15.24	1	50	0.39	0.83
15.24	2	50	0.28	0.44
15.24	3	50	0.15	0.15
15.24	4	60	0.27	9.42
15.24	5	60	0.64	9.15
15.24	6	60	0.91	8.51
15.24	7	60	0.86	7.61
15.24	8	60	1.03	6.75
15.24	9	60	1.4	5.72
15.24	10	60	1.36	4.32
15.24	11	60	1.2	2.95
15.24	12	60	0.72	1.76
15.24	1	60	0.48	1.04
15.24	2	60	0.34	0.56
15.24	3	60	0.21	0.21
15.24	4	100	0.16	9.42
15.24	5	100	0.52	9.26
15.24	6	100	0.67	8.74
15.24	7	100	0.71	8.06
15.24	8	100	0.81	7.36
