! Constant Low Level Pumping for 2 ranges of SAC flow
NDD_t1
month	range1	prc1	range2	prc2	range3   prc3
1	5000	0.06	10000	0.06	12000	0.06
2	10000	0.06	10000	0.06	12000	0.06
3	10000	0.06	20000	0.10	35000	0.15
4	10000	0.06	20000	0.10	35000	0.15
5	10000	0.06	20000	0.10	35000	0.15
6	20000	0.03	35000	0.15	35000	0.15
7	20000	0.03	35000	0.15	35000	0.15
8	20000	0.03	35000	0.15	35000	0.15
9	10000	0.06	12000	0.06	12000	0.06
10	10000	0.06	12000	0.06	12000	0.06
11	5000	0.06	12000	0.06	12000	0.06
12	5000	0.06	12000	0.06	12000	0.06

