!Lookup table to get bounds of Oroville Top of Conservation
ORO_TOC
month   UPPER_EX	UPPER_FIRO	LOWER_EX	LOWER_FIRO
1	    3050.98	    3050.98	    2675.38	    2830.46
2	    3050.98	    3050.98	    2675.38	    2830.46
3	    3050.98	    3050.98	    2675.38	    2830.46
4	    3050.98	    3050.98	    2675.38	    2830.46
5	    3050.98	    3050.98	    2675.38	    2830.46
6	    3050.98	    3212.94	    2675.38	    3212.94
7	    3344.27	    3380.49	    2965.30	    3380.49
8	    3425.17	    3425.17	    3275.21	    3425.17
9	    3425.17	    3425.17	    3425.17	    3425.17
10	    3425.17	    3425.17	    3425.17	    3425.17
11	    3425.17	    3425.17	    3425.17	    3425.17
12	    3238.08	    3238.08	    3050.27	    3053.48
