! Clear Creek minimum flow as proposed for 2021 BiOp Alt 2		
! wytype refers to the Shasta Index and flow values are in units of CFS.		
clear_ck_min_PA		
month	wytype	flow
1	1	168.4
2	1	221.9
3	1	269.7
4	1	295.4
5	1	286.1
6	1	271.3
7	1	234.8
8	1	185.0
9	1	136.5
10	1	106.2
11	1	114.4
12	1	134.7
1	2	168.4
2	2	221.9
3	2	269.7
4	2	295.4
5	2	286.1
6	2	271.3
7	2	234.8
8	2	185.0
9	2	136.5
10	2	106.2
11	2	114.4
12	2	134.7
1	3	168.4
2	3	221.9
3	3	269.7
4	3	295.4
5	3	286.1
6	3	271.3
7	3	234.8
8	3	185.0
9	3	136.5
10	3	106.2
11	3	114.4
12	3	134.7
1	4	168.4
2	4	221.9
3	4	269.7
4	4	295.4
5	4	286.1
6	4	271.3
7	4	234.8
8	4	185.0
9	4	136.5
10	4	106.2
11	4	114.4
12	4	134.7
1	5	150.0
2	5	150.0
3	5	150.0
4	5	150.0
5	5	150.0
6	5	150.0
7	5	150.0
8	5	150.0
9	5	150.0
10	5	150.0
11	5	150.0
12	5	150.0
