! stan_rpa.table                
! Modified by Hilts 20090515 to reflect NOAA draft Stan RPA dated 050109 - dubbed lowdrop regime, with very dry regime added by DH.             
! 09/02/09 Errata - The wetter distributions were not updated as intended.                  
! 09/02/09 Errata - Herein the distributions have been updated to correspond 1:1 with the 051409 STAN_YR.TABLE allocation amounts.              
! Modified by Hilts 20100930 to reflect NOAA's 2009 OCAP BO RPA action III.1.3.  STANYR values for the two wettest categories below revised slightly to match the BO's Appendix 2-E exactly.                
! Modified** by MJB 20221122 to reflect DRAFT proposed operations for Alternative 2 from the 2021 LTO Reconsultation                
! **flows for stanyr 0, 98.9, 589.5, & 99999 not changed as they were not part of the proposed 2021 update and are no longer used by the model              
stan_rpa                
stanyr  month   flow        
0.0 1   0.0     
0.0 2   0.0     
0.0 3   0.0     
0.0 4   0.0     
0.0 5   0.0     
0.0 6   0.0     
0.0 7   0.0     
0.0 8   0.0     
0.0 9   0.0     
0.0 10  0.0     
0.0 11  0.0     
0.0 12  0.0     
98.9    1   110.0       
98.9    2   200.0       
98.9    3   200.0       
98.9    4   125.0       
98.9    5   125.0       
98.9    6   125.0       
98.9    7   250.0       
98.9    8   250.0       
98.9    9   0.0     
98.9    10  0.0     
98.9    11  0.0     
98.9    12  0.0     
188.8   1   577.4       
188.8   2   200.0       
188.8   3   200.0       
188.8   4   200.0       
188.8   5   292.9       
188.8   6   200.0       
188.8   7   200.0       
188.8   8   150.0       
188.8   9   150.0       
188.8   10  150.0       
188.8   11  150.0       
188.8   12  150.0       
239.5   1   635.5       
239.5   2   200.0       
239.5   3   200.0       
239.5   4   200.0       
239.5   5   339.3       
239.5   6   200.0       
239.5   7   500.0       
239.5   8   284.4       
239.5   9   200.0       
239.5   10  200.0       
239.5   11  200.0       
239.5   12  200.0       
352.9   1   774.2       
352.9   2   200.0       
352.9   3   200.0       
352.9   4   200.0       
352.9   5   385.7       
352.9   6   200.0       
352.9   7   1435.7      
352.9   8   1031.3      
352.9   9   363.3       
352.9   10  250.0       
352.9   11  250.0       
352.9   12  250.0       
492.6   1   796.8       
492.6   2   200.0       
492.6   3   200.0       
492.6   4   200.0       
492.6   5   432.1       
492.6   6   1521.0      
492.6   7   1614.3      
492.6   8   1200.0      
492.6   9   940.0       
492.6   10  300.0       
492.6   11  300.0       
492.6   12  300.0       
589.5   1   841.9       
589.5   2   300.0       
589.5   3   300.0       
589.5   4   358.1       
589.5   5   364.3       
589.5   6   1648.4      
589.5   7   2442.9      
589.5   8   1725.0      
589.5   9   1100.0      
589.5   10  429.0       
589.5   11  400.0       
589.5   12  400.0       
9999.0  1   841.9       
9999.0  2   300.0       
9999.0  3   300.0       
9999.0  4   358.1       
9999.0  5   364.3       
9999.0  6   1648.4      
9999.0  7   2442.9      
9999.0  8   1725.0      
9999.0  9   1100.0      
9999.0  10  429.0       
9999.0  11  400.0       
9999.0  12  400.0       
