! DESCRIPTION: Limits on SWP pumping facilities which reflect updated scheduled and forced Operational Availability.
! LAST_UPDATED: 20240206
! LAST_UPDATED_BY: Chris Quan (DWR)
! SOURCE: Plant OA Summary for CalSim Scenarios.xlsx using 1) RECOMMENDED MODELING PERIOD FOR CURRENT OA (2015-2023) and 2) Failing AM/Run Flat (hard to move Table A)
!
! D419	C825	D_CAA185_CSB001	C_CAA245	C_CAA278	C_CAA280	C_CAA293	C_ESB361	C_ESB406	C_WSB001
!	C838
! BA	DA	LP	BV	TR	CH	ED	PB	MJ	OS
! 1	2	3	4	5	6	7	8	9	10
!
swp_limits
Plant	Month	Data_Current	Data_Runflat
1	1	8369.5	5270.0
1	2	8367.0	5270.0
1	3	9247.2	6400.0
1	4	9071.6	7530.0
1	5	9104.1	7530.0
1	6	9027.6	6400.0
1	7	8294.8	5270.0
1	8	7769.7	5270.0
1	9	8583.8	6400.0
1	10	8930.6	6775.0
1	11	8808.8	6775.0
1	12	9000.9	6400.0
2	1	11986.2	7500.0
2	2	12230.1	7500.0
2	3	12644.9	5000.0
2	4	12953.2	5000.0
2	5	11857.8	5000.0
2	6	11768.6	7500.0
2	7	11745.3	7500.0
2	8	12473.9	7500.0
2	9	12468.5	7500.0
2	10	12859.1	10100.0
2	11	12843.2	10100.0
2	12	12789.1	7500.0
3	1	439.6	439.6
3	2	415.0	415.0
3	3	444.5	444.5
3	4	450.8	450.8
3	5	456.1	456.1
3	6	455.2	455.2
3	7	459.3	459.3
3	8	454.3	454.3
3	9	454.8	454.8
3	10	453.7	453.7
3	11	456.5	456.5
3	12	453.4	453.4
4	1	4662.0	2865.0
4	2	4718.0	2865.0
4	3	4813.3	2230.0
4	4	4357.5	2230.0
4	5	4272.2	2230.0
4	6	4858.6	2230.0
4	7	5043.8	2865.0
4	8	4733.4	2865.0
4	9	4840.8	3500.0
4	10	4731.5	3500.0
4	11	4705.5	3500.0
4	12	4746.5	3500.0
5	1	4167.8	2391.2
5	2	4383.4	2391.2
5	3	4689.4	1716.5
5	4	4095.6	1716.5
5	5	4190.5	1716.5
5	6	4266.6	1716.5
5	7	4259.0	2391.2
5	8	4423.3	2391.2
5	9	4506.6	3065.9
5	10	4767.2	3065.9
5	11	4623.8	3065.9
5	12	4652.4	3065.9
6	1	3566.2	2190.0
6	2	3864.6	2190.0
6	3	4133.2	1560.0
6	4	3862.2	1560.0
6	5	3942.5	1560.0
6	6	4026.1	1560.0
6	7	3819.9	2190.0
6	8	3856.7	2190.0
6	9	3777.5	2820.0
6	10	4000.1	2820.0
6	11	3788.3	2820.0
6	12	3999.9	2820.0
7	1	3965.8	2240.0
7	2	3912.3	2240.0
7	3	4052.2	1920.0
7	4	3437.3	1600.0
7	5	3612.6	1600.0
7	6	3823.1	1600.0
7	7	4087.0	2240.0
7	8	3929.4	2240.0
7	9	3936.2	2880.0
7	10	3999.1	2880.0
7	11	4024.4	2880.0
7	12	4084.0	2880.0
8	1	2035.6	1400.0
8	2	2024.8	1400.0
8	3	2205.6	1120.0
8	4	2116.6	1120.0
8	5	1994.5	1120.0
8	6	2044.8	1120.0
8	7	2159.2	1906.7
8	8	2281.2	1400.0
8	9	2186.5	1775.0
8	10	2242.2	1775.0
8	11	2189.6	1775.0
8	12	2154.4	1775.0
9	1	2371.7	1500.0
9	2	2656.1	1500.0
9	3	1500.0	1500.0
9	4	1500.0	1500.0
9	5	1500.0	1500.0
9	6	1500.0	1500.0
9	7	1500.0	1500.0
9	8	2289.6	1500.0
9	9	2569.1	2500.0
9	10	2856.8	2500.0
9	11	2675.2	2500.0
9	12	2396.3	2500.0
10	1	2932.0	1211.6
10	2	2926.0	531.5
10	3	3024.8	531.5
10	4	2963.3	531.5
10	5	2856.2	531.5
10	6	2750.4	531.5
10	7	2578.7	1211.6
10	8	2926.4	1211.6
10	9	2866.8	1211.6
10	10	2779.9	1211.6
10	11	2694.4	1211.6
10	12	2402.1	1211.6
11	1	14200.0	14200.0
11	2	14200.0	14200.0
11	3	14200.0	14200.0
11	4	14200.0	14200.0
11	5	14200.0	14200.0
11	6	14200.0	14200.0
11	7	14200.0	14200.0
11	8	14200.0	14200.0
11	9	14200.0	14200.0
11	10	14200.0	14200.0
11	11	14200.0	14200.0
11	12	14200.0	14200.0
