wsi_di_SWP
wsi                   di
0.0        0.0
500.0        305.599241749
1000.0        345.850277822
1500.0        430.644846902
2000.0        745.186589872
2500.0        1288.43029696
3000.0        1928.65341623
3500.0        2669.65337899
4000.0        3631.49969385
4500.0        4738.04257887
5000.0        5578.86297098
5500.0        6255.43437458
6000.0        6824.45671077
6500.0        7064.07509846
7000.0        7126.14587256
7500.0        7126.14587256
8000.0        7126.14587256
8500.0        7126.14587256
9000.0        7126.14587256
9500.0        7126.14587256
10000.0        7126.14587256
10500.0        7126.14587256
11000.0        7126.14587256
11500.0        7126.14587256
12000.0        7126.14587256
12500.0        7126.14587256
13000.0        7126.14587256
13500.0        7126.14587256
14000.0        7126.14587256
14500.0        7126.14587256
15000.0        7126.14587256
15500.0        7126.14587256
16000.0        7126.14587256
16500.0        7126.14587256
17000.0        7126.14587256
17500.0        7126.14587256
18000.0        7126.14587256
18500.0        7126.14587256
19000.0        7126.14587256
19500.0        7126.14587256
20000.0        7126.14587256
